index,symbol,companyName,floor,industryName
0,ABB,Ngân hàng Thương mại Cổ phần An Bình,UPCOM,Ngân hàng
1,ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,Ngân hàng
2,BAB,Ngân hàng Thương mại cổ phần Bắc Á,HNX,Ngân hàng
3,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,HOSE,Ngân hàng
4,BVB,Ngân hàng TMCP Bản Việt,UPCOM,Ngân hàng
5,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,HOSE,Ngân hàng
6,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HOSE,Ngân hàng
7,HDB,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,HOSE,Ngân hàng
8,KLB,Ngân hàng Thương mại Cổ phần Kiên Long,UPCOM,Ngân hàng
9,LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,HOSE,Ngân hàng
10,MBB,Ngân hàng Thương mại Cổ phần Quân đội ,HOSE,Ngân hàng
11,MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,HOSE,Ngân hàng
12,NAB,Ngân hàng Thương mại Cổ phần Nam Á,UPCOM,Ngân hàng
13,NVB,Ngân hàng Thương mại Cổ phần Quốc Dân ,HNX,Ngân hàng
14,OCB,Ngân hàng Thương mại Cổ phần Phương Đông,HOSE,Ngân hàng
15,PGB,NGÂN HÀNG TMCP XĂNG DẦU PETROLIMEX,UPCOM,Ngân hàng
16,SGB,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN CÔNG THƯƠNG,UPCOM,Ngân hàng
17,SHB,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội ,HOSE,Ngân hàng
18,SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,HOSE,Ngân hàng
19,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HOSE,Ngân hàng
20,TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,HOSE,Ngân hàng
21,TPB,Ngân hàng Thương mại cổ phần Tiên Phong,HOSE,Ngân hàng
22,VAB,Ngân hàng Thương mại Cổ phần Việt Á,UPCOM,Ngân hàng
23,VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam ,HOSE,Ngân hàng
24,VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,HOSE,Ngân hàng
25,VPB,Ngân hàng Thương mại Cổ phần Việt Nam thịnh vượng,HOSE,Ngân hàng
